"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib"
"143","3","2","2","2","1","1","2","2","2","2","4","2","1","4","3","4","2","2","2","2","2","4","2","2","2","1","2","1","1","1","1","2","1","2","2","2","1","2","Academic","Natural science","Federal/national government","USACanada","S1",0.826220695280184,-2.43020392206193,0.0237031549935255
"144","2","1","2","2","1","2","2","2","4",NA,"4","5","5","4","2","2","2","2","2","1","2","2","2","1","2","1","1","1","1",NA,"1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",1.86578412371636,-1.63903161182345,0.0221887049224878
"145","2","2","2","1","2","2","2","2","4","4","2","4","4","5","2","5","4","4","1","4","2","2","2","1",NA,"1","1","1","1","1","1","2","1","1","1","2","1","1","Academic","Physical science","Federal/national government","USACanada","S1",1.04852619440052,0.778091087434792,0.00613337243427556
"146","1","2","1","2","1","2","1","2","2","3","3","2","2","4","1","1","2","1","2","1","1","2","2","2","1","2","2","2","1","1","2","2","2","1","1","2",NA,"2","Academic","Natural science","Federal/national government","USACanada","S1",-2.08810220334009,-1.29059846908058,0.0216787044148341
"147","2","2","2","2","2","2","1","1","1","3","3","2","2","5","2","3","2","2","1","2","2","5","2","3","2","1","3","1","1","1","1","1","1","2","2","1","1","1","Government","Other","Federal/national government","USACanada","S1",2.92863276188766,-0.35775617186818,0.0313170084257456
"150","2","2","2","2","2","2","2","2","1","1","2","4","4","4","4","4","2","2","2","1","1","4","3","2","1","2","2","1","1","2","1","2","1","1","2","2","2","2","Government","Natural science","Federal/national government","USACanada","S1",-1.31137056000393,-0.528936623296072,0.00719335823145642
"151","1","2","2","2","2","2","2","2","2","4","1","1","3","3","1","2","2","1","1","3","4","4","4","3","2","1","2","1","1","1","1",NA,"1","1","1","1","1","1","Government","Information science","Federal/national government","USACanada","S1",2.49753127696118,0.973914524680103,0.0258532484913934
"152","2","1","2","2","2","2","1","1","1","1","1","1","2","4","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Government","Natural science","Federal/national government","AsiaSEAsia","S1",1.25102119209402,2.2828978119656,0.0243800316070609
"153","2","1","2","2","1","2","2","1","2","2","2","2","2","3","2","2","3","3",NA,"2","2","3","3","3","2","2","2","1","1","1","1","1","2","1","1","1","1","1","Other","Natural science","International institution","USACanada","S1",2.87181959751622,-1.14826172746926,0.0344144796442668
"154","2","1","2","2","1","1","2","1","2","3","3","1","2","3","1","1","1","1","1","1","1","3","2","2","2","1","1","1","1","1","1","2","2","1","2",NA,"1","2","Commercial","Physical science","Corporation","USACanada","S1",-0.614945138720006,0.249194726162913,0.00158388023292935
"155","1","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2","3","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",2.46412681158109,-0.243841746881231,0.0220584873928733
"156","1","2","1","2","1","2","2","2","2","4","3","5","5","5","3","4","2","2","2","1","1","4","1","4","1","1","1","1","1","1","1","1","2","1","1","2","1","1","Academic","Natural science","Federal/national government","USACanada","S1",0.64651080157865,-1.34402458222129,0.0080025088366805
"158","1","1","2","2","1","2","2","1","4","4","4","2","3","3","1","1","3","2","3","1","1","3","3","4","3","2","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","AsiaSEAsia","S1",1.8958819678257,-0.781375565487217,0.0151277681581022
"159","1","2","2","2","1","2","2","2","2","2","2","4","4","5","2","3","4",NA,"2","2","3","5","1","3","2","1","2","1","2","1","1","1","2","1","1","2","1","2","Academic","Natural science","Federal/national government","EuroRussia","S1",1.41974185824054,-0.790714598615205,0.00950099081502931
"160","1","2","2","2","2","2","1","2","3","3","2","2","2","1","2","1","2","2","2","1","1","2",NA,"1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","Non-Profit","Information science","Federal/national government","EuroRussia","S1",0.828832268938374,1.85246886749237,0.0148172474399747
"162","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","1","2","2","1","1","1","2","1","1","Academic","Natural science","State/regional government","AsiaSEAsia","S1",-1.76894947442841,2.51607885947393,0.0340330662014212
"163","3","2","2","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","Academic","Information science","Local government","AsiaSEAsia","S1",2.16388144949596,-1.33121252510111,0.0232209922033973
"164","1","1","2","1","1","2","2","2","4","5","3","1","1","1","2","2","1","1","1","1","2","4","2","1","1","2","3","2","1","1","1","1","1","1","2","2","1","1","Government","Natural science","Federal/national government","USACanada","S1",-0.277951213280222,0.719002244246668,0.00213779268109433
"165","2","1","2","2","1","2","2","2","2","2","2","4","4","5","2","2","4","4","4","2","3","4","1","2","2","1","2","1","1","1","1","2","1","1","1","1","1","1","Academic","Natural science","Other","USACanada","S1",2.36753003820287,-0.951581479689638,0.0234231653798501
"166","3","1","2","2","1","2","2","1","1","3","3","5","5","5","1","1","2","1","2","1","1","2","4","4","1","1","1","1","1","1","1","2","1","1","2","2","1","2","Academic","Natural science","State/regional government","EuroRussia","S1",-1.41800098679254,-0.422477917807981,0.00787600182212514
"167","2","2","2","2","1","2","2","2","1","2","3","1","2","3","1","2","2","2","2","1","1","1","3","3","1","1","1","1","1","1","1","2","1","2","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",-0.257196047721203,1.1724399856695,0.00518335271063585
"168","2","2","2","2","1","2","2","2","2","2","4","4","4","5","2","2","1","1","1","2","2","3","1","5","2","1","1","2","1","2","2","2","2","1","1","2","1","1","Academic","Natural science","Federal/national government","USACanada","S1",-0.899340077947944,-1.13126076189705,0.00751389626762692
"169","2","1","2","2","1","2","2","2","2","4","4","4","3","4","2","3","1","2","2","2","3","5","3","2","1","1","1","2","1","1","2","2","2","1","1","1","2","2","Academic","Natural science","Private foundation","USACanada","S1",-0.80435463617216,-1.72892489340169,0.0130816165438647
"170","2","1","2","2","1","2","2","2","4","4","4","4","4","5","1","2","1","1","2","1","1","2","3","4","2","2","2","2","1","1","1","2","1","2","2","2","2","2","Academic","Physical science","Federal/national government","EuroRussia","S1",-2.75063966241033,-2.96357641088788,0.0588170844796902
"171","1","2","2","1","2","2","2","1","3","3","4","2","2","5","1","1","2","1","1","1","2","4","2","5","2","1","2","1","1","1","1","2","2","2","1","2","1","1","Academic","Natural science","Federal/national government","USACanada","S1",0.106379798855579,-0.431603040129253,0.000710885604167669
"172","3","2","2","2","1","2","2","2","1","1","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",4.36808897782694,0.813810265097245,0.0710263352323776
"173","1","1","1","2","1","1","1","2","2","3","3","5","5","5","2","2","2","2","2","2","2","2","3","3","2","1","3","2","1","1","1","1","2","1","1","2","2","1","Academic","Physical science","Federal/national government","USACanada","S1",0.883833084079511,-3.18817404354341,0.0393783639268954
